question_type	question_text	required	page_number	option_text	option_values
instruction	"In this test there are a number of items that differ from each other. Some involve selecting an illustration according to the instructions, and others require to select the correct answer for a question that will be presented on the screen."	0	1		
instruction	"You will now the test without practice.
Good luck! Press NEXT to begin"	0	1		
instruction	"All the cubes below have a different image on each side. Select the choice that represents a rotation of the cube labeled X, by clicking the circle next to the letter.<br> <img src=""images/1.png"">"	0	2		
radio	  	1	2	"A,B,C,D,E,F,G,H"	"A,B,C,D,E,F,G,H"
instruction	"All the cubes below have a different image on each side. Select the choice that represents a rotation of the cube labeled X, by clicking the circle next to the letter. <br><img src=""images/2.png"">"	0	3		
radio	    	1	3	"A,B,C,D,E,F,G,H"	"A,B,C,D,E,F,G,H"
instruction	"All the cubes below have a different image on each side. Select the choice that represents a rotation of the cube labeled X, by clicking the circle next to the letter. <br><img src=""images/3.png"">"	0	4		
radio	      	1	4	"A,B,C,D,E,F,G,H"	"A,B,C,D,E,F,G,H"
instruction	"All the cubes below have a different image on each side. Select the choice that represents a rotation of the cube labeled X, by clicking the circle next to the letter.<br> <img src=""images/4.png"">"	0	5		
radio	        	1	5	"A,B,C,D,E,F,G,H"	"A,B,C,D,E,F,G,H"
radio	"In the following alphanumeric series, what letter comes next? <br><h3>K, N, P, S, U, ... </h3>"	1	6	"S,T,U,V,W,X,None of these,I don't know"	"S,T,U,V,W,X,None of these,I don't know"
radio	"In the following alphanumeric series, what letter comes next?<br><h3>V, Q, M, J, H, ... </h3>"	1	7	"E,F,G,H,I,J,None of these,I don't know"	"E,F,G,H,I,J,None of these,I don't know"
radio	"In the following alphanumeric series, what letter comes next? <br><h3>I, J, L, O, S, ... </h3>"	1	8	"T,U,V,X,Y,Z,None of these,I don't know"	"T,U,V,X,Y,Z,None of these,I don't know"
radio	"In the following alphanumeric series, what letter comes next? <br><h3>Q, S, N, P, L, ... </h3>"	1	9	"J,H,I,N,M,L,None of these,I don't know"	"J,H,I,N,M,L,None of these,I don't know"
instruction	"Please indicate which is the best answer to complete the figure below by pressing the circle using a mouse click.<br> <img src=""images/5.jpg"">"	0	10		
radio	                                    	1	10	"A,B,C,D,E,F,None of those,I don't know"	"A,B,C,D,E,F,None of those,I don't know"
instruction	"Please indicate which is the best answer to complete the figure below by pressing the circle using a mouse click.<br> <img src=""images/6.jpg"">"	0	11		
radio	                                                                        	1	11	"A,B,C,D,E,F,None of those,I don't know"	"A,B,C,D,E,F,None of those,I don't know"
instruction	"Please indicate which is the best answer to complete the figure below by pressing the circle using a mouse click.<br> <img src=""images/7.jpg"">"	0	12		
radio	                                                                                                            	1	12	"A,B,C,D,E,F,None of those,I don't know"	"A,B,C,D,E,F,None of those,I don't know"
instruction	"Please indicate which is the best answer to complete the figure below by pressing the circle using a mouse click.<br> <img src=""images/8.jpg"">"	0	13		
radio	                                                                                                                                                	1	13	"A,B,C,D,E,F,None of those,I don't know"	"A,B,C,D,E,F,None of those,I don't know"
radio	What number is one fifth of one fourth of one ninth of 900?	1	14	"2,3,4,5,6,7,None of these,I don't know"	"2,3,4,5,6,7,None of these,I don't know"
radio	Zach is taller than Matt and Richard is shorter than Zach. Which of the following statements would be most accurate? 	1	15	"Richard is taller than Matt,Richard is shorter than Matt,Richard is as tall as Matt,It's impossible to tell,Richard is taller than Zach,Zach is shorter than Matt,None of these,I don't know"	"Richard is taller than Matt,Richard is shorter than Matt,Richard is as tall as Matt,It's impossible to tell,Richard is taller than Zach,Zach is shorter than Matt,None of these,I don't know"
radio	"Joshua is 12 years old and his sister is three times as old as he. When Joshua is 23 years old, how old will his sister be?"	1	16	"35,39,44,47,53,57,None of these,I don't know"	"35,39,44,47,53,57,None of these,I don't know"
radio	If the day after tomorrow is two days before Thursday then what day is it today?	1	17	"Friday,Monday,Wednesday,Saturday,Tuesday,Sunday,None of these,I don't know"	"Friday,Monday,Wednesday,Saturday,Tuesday,Sunday,None of these,I don't know"
instruction	                                                                                                                                                                                                                        	0	18		